user_id,age,gender,weight_kg,height_cm,goal,activity_level,join_date
U000001,56,male,74.9,161.0,maintenance,active,2023-01-09
U000002,46,male,71.4,182.0,maintenance,sedentary,2023-10-06
U000003,32,male,85.0,185.0,muscle_gain,light,2023-11-20
U000004,60,female,75.1,194.0,weight_loss,moderate,2022-11-18
U000005,25,male,101.0,164.0,weight_loss,active,2023-07-15
U000006,38,female,97.8,169.0,weight_loss,sedentary,2023-07-30
U000007,56,female,72.2,161.0,weight_loss,active,2023-08-10
U000008,36,female,80.1,176.0,muscle_gain,moderate,2023-09-22
U000009,40,male,103.9,176.0,weight_loss,moderate,2022-11-20
U000010,28,male,63.1,193.0,maintenance,sedentary,2023-10-11
U000011,28,male,96.5,175.0,maintenance,moderate,2022-12-21
U000012,41,male,72.4,175.0,weight_loss,moderate,2022-11-18
U000013,53,female,61.6,180.0,weight_loss,light,2022-09-02
U000014,57,male,61.4,164.0,weight_loss,light,2023-02-26
U000015,41,female,70.2,179.0,weight_loss,moderate,2023-10-19
U000016,20,male,85.1,160.0,weight_loss,active,2023-02-03
U000017,39,female,104.9,169.0,weight_loss,light,2023-04-30
U000018,19,female,71.7,178.0,maintenance,moderate,2023-11-16
U000019,41,female,66.0,170.0,maintenance,active,2023-11-17
U000020,61,male,81.3,191.0,maintenance,active,2023-10-16
U000021,47,female,63.6,158.0,weight_loss,active,2023-08-13
U000022,55,female,69.9,172.0,weight_loss,active,2023-08-05
U000023,19,male,109.3,191.0,weight_loss,light,2023-03-19
U000024,38,female,85.7,165.0,muscle_gain,moderate,2023-01-28
U000025,50,male,98.1,167.0,weight_loss,moderate,2023-11-19
U000026,29,male,66.6,160.0,maintenance,moderate,2023-02-18
U000027,39,female,83.6,187.0,muscle_gain,active,2023-08-23
U000028,61,female,83.1,190.0,maintenance,moderate,2022-12-01
U000029,42,male,99.7,175.0,maintenance,sedentary,2023-01-04
U000030,44,female,56.2,185.0,muscle_gain,moderate,2022-12-08
U000031,59,male,102.3,172.0,maintenance,active,2023-02-26
U000032,45,male,59.4,171.0,weight_loss,moderate,2023-05-02
U000033,33,female,105.4,163.0,maintenance,sedentary,2023-08-12
U000034,32,male,62.9,169.0,muscle_gain,moderate,2023-04-17
U000035,64,female,84.3,183.0,weight_loss,moderate,2023-02-04
U000036,61,female,60.5,158.0,maintenance,active,2023-07-13
U000037,20,male,79.6,178.0,muscle_gain,sedentary,2022-10-14
U000038,54,female,71.5,165.0,weight_loss,active,2022-09-13
U000039,24,female,78.1,178.0,maintenance,active,2023-11-29
U000040,38,female,85.0,166.0,weight_loss,light,2022-11-09
U000041,26,female,80.3,185.0,muscle_gain,light,2022-10-16
U000042,56,female,56.3,158.0,maintenance,moderate,2023-09-12
U000043,35,female,102.5,194.0,weight_loss,light,2022-12-10
U000044,21,male,60.2,174.0,weight_loss,active,2023-04-30
U000045,42,female,108.9,160.0,muscle_gain,active,2023-06-11
U000046,31,male,101.8,159.0,weight_loss,moderate,2023-07-13
U000047,26,male,85.9,168.0,muscle_gain,moderate,2023-09-14
U000048,43,female,68.5,169.0,weight_loss,active,2023-08-14
U000049,19,female,59.7,171.0,maintenance,sedentary,2022-07-30
U000050,37,male,92.0,169.0,weight_loss,sedentary,2022-11-07
U000051,45,male,66.1,179.0,muscle_gain,sedentary,2023-06-13
U000052,64,female,95.3,168.0,weight_loss,sedentary,2023-10-11
U000053,24,male,100.8,182.0,weight_loss,moderate,2023-10-16
U000054,61,male,109.4,185.0,weight_loss,light,2023-05-22
U000055,25,female,82.7,181.0,weight_loss,active,2023-10-14
U000056,64,male,108.6,190.0,muscle_gain,light,2023-06-02
U000057,52,male,63.2,170.0,muscle_gain,moderate,2022-09-25
U000058,31,female,101.0,189.0,weight_loss,moderate,2023-06-09
U000059,34,female,74.8,167.0,maintenance,moderate,2023-01-27
U000060,53,female,75.1,175.0,weight_loss,sedentary,2023-07-20
U000061,57,female,69.8,174.0,weight_loss,light,2022-10-15
U000062,21,male,64.5,162.0,maintenance,sedentary,2023-11-10
U000063,19,male,79.3,174.0,weight_loss,sedentary,2022-11-24
U000064,23,male,109.3,186.0,maintenance,light,2023-04-11
U000065,59,male,73.1,160.0,muscle_gain,moderate,2023-03-03
U000066,21,male,80.4,168.0,maintenance,moderate,2023-09-30
U000067,46,female,67.6,188.0,weight_loss,moderate,2022-07-22
U000068,35,male,73.5,190.0,muscle_gain,moderate,2022-08-17
U000069,43,male,58.0,166.0,weight_loss,sedentary,2023-05-23
U000070,61,female,107.6,188.0,weight_loss,light,2023-10-23
U000071,51,male,83.0,170.0,weight_loss,sedentary,2023-02-23
U000072,27,male,95.3,189.0,weight_loss,active,2023-07-05
U000073,53,female,83.2,167.0,muscle_gain,moderate,2022-10-04
U000074,31,female,97.4,181.0,maintenance,moderate,2023-01-15
U000075,48,male,84.4,184.0,muscle_gain,moderate,2023-01-20
U000076,32,female,93.6,187.0,muscle_gain,light,2022-09-05
U000077,25,male,92.7,190.0,weight_loss,light,2022-09-17
U000078,31,male,84.3,186.0,weight_loss,sedentary,2023-05-31
U000079,40,female,67.7,168.0,maintenance,light,2023-02-10
U000080,57,male,66.7,194.0,weight_loss,moderate,2023-08-26
U000081,38,female,103.1,174.0,maintenance,light,2022-12-07
U000082,33,female,61.6,181.0,maintenance,moderate,2023-10-28
U000083,62,male,85.8,187.0,maintenance,moderate,2023-11-09
U000084,35,male,82.6,186.0,maintenance,light,2022-12-29
U000085,64,female,98.9,,weight_loss,sedentary,2023-08-08
U000086,41,female,62.4,190.0,muscle_gain,light,2022-11-02
U000087,43,female,92.8,161.0,weight_loss,light,2023-07-07
U000088,42,female,88.3,176.0,weight_loss,moderate,2022-07-16
U000089,62,male,93.6,179.0,muscle_gain,active,2023-10-23
U000090,58,female,89.2,165.0,weight_loss,sedentary,2022-09-21
U000091,46,male,85.9,157.0,maintenance,light,2023-08-05
U000092,32,female,105.9,159.0,weight_loss,sedentary,2022-09-15
U000093,62,female,74.2,187.0,weight_loss,sedentary,2023-10-12
U000094,18,male,65.2,163.0,maintenance,light,2023-05-22
U000095,42,male,98.7,165.0,muscle_gain,light,2023-07-13
U000096,24,female,62.1,157.0,weight_loss,moderate,2023-04-14
U000097,26,male,92.4,162.0,muscle_gain,sedentary,2023-01-11
U000098,41,male,85.2,190.0,weight_loss,moderate,2022-10-01
U000099,18,male,55.1,163.0,weight_loss,moderate,2023-05-30
U000100,61,male,68.2,190.0,maintenance,,2023-09-10
U000101,25,female,82.3,187.0,muscle_gain,light,2023-05-27
U000102,41,male,73.1,177.0,muscle_gain,moderate,2023-06-04
U000103,28,female,78.5,157.0,maintenance,active,2023-08-17
U000104,34,female,88.1,170.0,muscle_gain,light,2022-12-24
U000105,25,female,95.2,162.0,muscle_gain,moderate,2023-07-19
U000106,52,female,63.3,155.0,weight_loss,sedentary,2022-12-08
U000107,52,male,70.6,178.0,weight_loss,moderate,2022-08-10
U000108,50,female,90.0,183.0,weight_loss,moderate,2022-12-18
U000109,22,female,87.4,167.0,weight_loss,active,2023-01-05
U000110,59,male,95.5,156.0,weight_loss,light,2023-10-27
U000111,56,male,90.2,187.0,weight_loss,sedentary,2023-01-25
U000112,58,male,73.2,,maintenance,active,2023-01-11
U000113,45,female,82.5,164.0,muscle_gain,moderate,2023-09-06
U000114,24,male,103.7,158.0,maintenance,sedentary,2023-03-04
U000115,26,female,65.2,170.0,maintenance,sedentary,2022-11-24
U000116,25,female,75.7,187.0,weight_loss,active,2023-07-30
U000117,29,female,101.3,167.0,muscle_gain,light,2023-09-10
U000118,51,male,75.0,159.0,maintenance,moderate,2023-04-10
U000119,50,female,77.7,162.0,muscle_gain,light,2023-05-22
U000120,40,female,72.6,162.0,muscle_gain,sedentary,2023-07-17
U000121,41,male,104.5,185.0,muscle_gain,moderate,2022-07-14
U000122,54,female,91.5,175.0,muscle_gain,moderate,2022-08-16
U000123,52,male,66.5,164.0,weight_loss,moderate,2023-01-09
U000124,61,male,96.2,175.0,weight_loss,moderate,2022-12-15
U000125,57,male,57.1,165.0,weight_loss,sedentary,2023-02-20
U000126,39,male,76.8,178.0,muscle_gain,light,2023-08-12
U000127,44,male,105.0,182.0,maintenance,light,2022-12-17
U000128,52,male,92.9,185.0,weight_loss,moderate,2023-06-19
U000129,18,female,98.6,166.0,maintenance,moderate,2022-09-27
U000130,52,male,106.2,178.0,weight_loss,light,2022-11-04
U000131,54,female,97.6,182.0,muscle_gain,light,2022-10-31
U000132,64,female,59.9,172.0,weight_loss,moderate,2023-11-04
U000133,31,female,67.7,187.0,maintenance,moderate,2023-08-07
U000134,20,female,82.5,169.0,weight_loss,active,2022-10-08
U000135,18,male,55.8,182.0,muscle_gain,sedentary,2023-11-16
U000136,22,female,89.4,182.0,maintenance,moderate,2022-10-16
U000137,43,male,91.1,194.0,weight_loss,sedentary,2023-06-24
U000138,31,female,93.3,166.0,maintenance,active,2023-05-11
U000139,56,male,85.6,177.0,muscle_gain,light,2023-07-18
U000140,44,male,79.9,184.0,weight_loss,light,2023-10-30
U000141,26,female,102.1,178.0,weight_loss,moderate,2023-08-16
U000142,32,male,97.2,163.0,maintenance,light,2022-08-22
U000143,32,male,88.7,167.0,weight_loss,light,2022-08-07
U000144,43,male,57.5,174.0,weight_loss,light,2023-02-15
U000145,59,male,93.2,173.0,maintenance,light,2022-09-10
U000146,30,female,85.7,158.0,muscle_gain,light,2022-11-30
U000147,49,female,93.1,180.0,muscle_gain,moderate,2023-06-24
U000148,56,female,72.1,172.0,maintenance,light,2023-08-16
U000149,49,female,97.7,187.0,weight_loss,light,2023-01-01
U000150,21,male,78.0,174.0,muscle_gain,active,2023-03-22
U000151,47,female,104.2,175.0,weight_loss,active,2023-05-14
U000152,54,female,60.7,194.0,weight_loss,light,2022-09-06
U000153,40,male,81.7,177.0,muscle_gain,light,2022-08-21
U000154,56,male,66.3,165.0,weight_loss,sedentary,2023-01-07
U000155,62,female,79.9,160.0,weight_loss,active,2023-04-12
U000156,32,female,74.5,160.0,weight_loss,light,2023-09-20
U000157,60,female,99.2,191.0,muscle_gain,moderate,2023-07-20
U000158,46,male,64.2,165.0,muscle_gain,moderate,2023-09-22
U000159,53,female,87.9,190.0,weight_loss,light,2023-07-29
U000160,30,male,77.4,162.0,weight_loss,light,2022-11-16
U000161,49,male,83.5,178.0,weight_loss,active,2023-02-18
U000162,24,female,94.3,164.0,muscle_gain,light,2023-03-02
U000163,39,male,74.6,173.0,maintenance,moderate,2023-07-21
U000164,45,male,75.2,178.0,muscle_gain,light,2022-11-15
U000165,19,female,59.2,187.0,weight_loss,light,2023-02-06
U000166,59,male,85.4,194.0,maintenance,active,2023-04-27
U000167,62,male,77.9,177.0,maintenance,active,2022-08-30
U000168,23,male,99.7,161.0,muscle_gain,moderate,2023-02-07
U000169,45,female,79.2,159.0,maintenance,light,2023-05-12
U000170,45,male,108.4,191.0,weight_loss,sedentary,2023-05-31
U000171,61,male,64.4,179.0,weight_loss,light,2023-08-12
U000172,61,male,69.7,167.0,weight_loss,sedentary,2022-07-10
U000173,37,female,76.6,164.0,weight_loss,light,2022-07-10
U000174,47,female,64.4,171.0,weight_loss,light,2023-09-23
U000175,28,female,108.5,194.0,weight_loss,light,2023-03-17
U000176,45,female,90.3,168.0,muscle_gain,active,2023-03-25
U000177,42,female,55.6,,weight_loss,sedentary,2023-10-17
U000178,56,female,86.8,164.0,weight_loss,sedentary,2022-11-11
U000179,50,female,98.0,184.0,weight_loss,active,2023-11-08
U000180,18,male,57.8,170.0,weight_loss,moderate,2022-09-18
U000181,44,male,86.8,191.0,muscle_gain,sedentary,2023-10-07
U000182,30,female,75.6,168.0,weight_loss,active,2023-09-15
U000183,58,female,87.0,184.0,muscle_gain,moderate,2023-01-15
U000184,20,female,68.9,158.0,muscle_gain,sedentary,2023-09-12
U000185,56,male,91.6,193.0,weight_loss,moderate,2022-10-23
U000186,23,male,91.9,157.0,muscle_gain,moderate,2022-12-19
U000187,25,male,84.7,175.0,maintenance,moderate,2023-04-30
U000188,44,male,105.8,176.0,weight_loss,light,2023-01-31
U000189,26,female,105.0,158.0,muscle_gain,light,2023-10-31
U000190,54,male,57.6,177.0,muscle_gain,moderate,2023-05-19
U000191,50,male,70.9,158.0,maintenance,light,2023-05-21
U000192,59,male,75.0,160.0,muscle_gain,moderate,2023-01-31
U000193,61,female,58.0,192.0,weight_loss,moderate,2022-07-10
U000194,41,female,83.8,179.0,muscle_gain,light,2023-04-07
U000195,32,female,56.4,156.0,weight_loss,sedentary,2023-03-07
U000196,49,male,92.3,187.0,weight_loss,light,2023-07-27
U000197,49,male,55.1,191.0,muscle_gain,moderate,2022-07-23
U000198,41,male,56.8,188.0,muscle_gain,light,2023-02-22
U000199,58,female,100.9,180.0,weight_loss,light,2022-09-18
U000200,29,female,68.9,169.0,maintenance,moderate,2022-08-07
U000201,56,male,59.5,175.0,maintenance,sedentary,2023-11-27
U000202,19,male,77.0,171.0,muscle_gain,moderate,2022-12-19
U000203,20,female,57.8,174.0,muscle_gain,sedentary,2022-11-28
U000204,54,male,96.3,162.0,muscle_gain,active,2023-10-05
U000205,34,male,82.2,161.0,muscle_gain,sedentary,2022-12-18
U000206,19,male,85.4,155.0,maintenance,moderate,2022-09-05
U000207,19,female,96.4,157.0,weight_loss,active,2023-03-03
U000208,45,female,98.1,192.0,weight_loss,moderate,2022-11-13
U000209,40,female,62.5,192.0,weight_loss,moderate,2023-07-19
U000210,54,female,70.4,188.0,weight_loss,sedentary,2022-11-04
